2020_winner,jurisdictions,population,total_funding_billions,mean_funding_per_resident,median_funding_per_resident,weighted_funding_per_resident
Biden,26,189703328,103.0959,673.9376254779739,540.6354040229857,543.4585733783226
Trump,25,143584229,88.5,1143.5295853263544,660.5949521398957,616.3629572437235
