model_term,coefficient,robust_standard_error,p_value
Intercept,1.0474338396506542,0.22255519524767128,2.5212919360375446e-06
population_millions,0.43399024003349057,0.024183165225907886,5.160618336662824e-72
biden_indicator,-0.24872202633803586,0.26105723771200734,0.34071725193610447
